,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 560-380,WIN: 560-380,WIN: 560-380,WIN: 560-280,LOSE: 340-550,LOSE: 340-600,WIN: 280-140,WIN: 580-270,WIN: 550-410,WIN: 550-410,WIN: 820-690,WIN: 820-130,WIN: 160-130,WIN: 40-20,WIN: 410-280,LOSE: 410-550,LOSE: 210-430,WIN: 310-80
solve1.py-second,LOSE: 380-560,LOSE: 380-560,LOSE: 380-560,LOSE: 280-560,WIN: 550-340,WIN: 600-340,LOSE: 140-280,LOSE: 270-580,LOSE: 410-550,LOSE: 410-550,LOSE: 690-820,LOSE: 130-820,LOSE: 130-160,LOSE: 20-40,LOSE: 280-410,WIN: 550-410,WIN: 430-210,LOSE: 80-310
solve2.py-first,WIN: 560-270,WIN: 560-10,WIN: 560-10,WIN: 560-10,WIN: 210-0,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,WIN: 560-340,,,,,,,,,,,,,,,,,
solve3.py-second,WIN: 380-320,WIN: 0--1,WIN: 380-290,,,,,,,,,,,,,,,
